Citation Ticket Number,Status,appl_identifier,Application Type,Appeal Date,Amount Due,Date Close,Judgement ,Judgement Comments,vehicles,addr_city,addr_zip,permit_permission
3822005821,Paid,247879,2nd appeal-Offc of Stud Conduct,2/10/2023 9:33,0,4/3/2023 11:07,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Appellate Board determined there is no new and relevant information to consider. Therefore the decision of CRU is upheld and the citation reduced.,1DW1728-MD,Cockeysville,21030,NULL
3822003773,Transferred,247046,2nd appeal-Offc of Stud Conduct,1/23/2023 11:05,0,4/3/2023 11:51,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Appellate Board votes to uphold the citation. The student did not present any new and relevant information for their appeal and they are responsible for holding the appropriate permits and registrations for all vehicles in their possession.,4DW9058-MD,ELLICOTT CITY,21042,NULL
2822005814,Paid,247396,2nd appeal-Offc of Stud Conduct,1/31/2023 12:21,0,5/15/2023 13:48,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Board votes to uphold CRUs decision.  The student clearly parked in a reserved space regardless of their parking permit. There is no new evidence to consider.,8DP4207-MD,Olney,20832,Lot 4
1322024696,Paid,243852,2nd appeal-Offc of Stud Conduct,10/10/2022 12:47,0,11/4/2022 11:15,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The Board has determined to uphold the original decision as there was no new evidence provided in the student's appeal. Regardless of permission from the Dingman Center, the student parked in a lettered lot, not a numbered lot as stated they were permitted to.","01T220-MD,7DP9138-MD",KNOXVILLE,21758-9122,NULL
1523011424,Paid,248610,2nd appeal-Offc of Stud Conduct,2/24/2023 12:59,0,5/15/2023 14:03,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,L60RCA-NJ,Fairfield,07004-1307,Overnight Storage- Lot 11
1522009952,Paid,244756,2nd appeal-Offc of Stud Conduct,10/31/2022 8:32,0,3/10/2023 14:20,2nd Appeal Denied- Citation Upheld,From Appellate Board: This citation is upheld due to a lack of new and relevant information. Student cannot park in service spaces.,"8BF6685-MD,G0T3RPZ-MD",Silver Spring,20906-6722,Lot 2
3522005898,Transferred,245392,2nd appeal-Offc of Stud Conduct,11/16/2022 8:56,0,4/5/2023 10:15,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The Board votes to uphold the original decision as the student provided no new and relevant information and parked in a spot that was clearly restricted, whether that was for 10 minutes or longer.","4DL8775-MD,5DT3547-MD,8BY1070-MD,1EN1269-MD",Rockville,20852-7615,Lot 1
3723008158,Paid,250901,2nd appeal-Offc of Stud Conduct,4/20/2023 12:59,0,5/15/2023 14:45,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,NULL,Hyattsville,20783,NULL
3923002123,Paid,250778,2nd appeal-Offc of Stud Conduct,4/18/2023 11:07,0,5/15/2023 14:40,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,"3DZ4188-MD,9ED5773-MD",North Bethesda,20852,Lot 4
723024335,Paid,247976,2nd appeal-Offc of Stud Conduct,2/13/2023 15:44,0,4/3/2023 10:58,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The student did not provide any new and relevant information for the Board to consider this appeal. In addition, CRU was able to demonstrate the student received an email from DOTS clarifying the parking restrictions at the time in question. Therefore the Board votes to uphold the decision.","16080CK-MD,6EG0210-MD",Lutherville,21093-4433,Lot 19
3522004656,Transferred,243173,2nd appeal-Offc of Stud Conduct,9/26/2022 9:44,0,11/4/2022 11:12,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Board voted to uphold the decision. There was no new evidence provided by the appellant.,7EM2326-MD,Baltimore,21206-3606,Lot 19
722022300,Paid,245141,2nd appeal-Offc of Stud Conduct,11/9/2022 13:16,0,4/4/2023 16:25,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Board agrees with CRU in that the student's citation should be upheld. They did not provide any new and relevant information and the Board agrees with CRU's decision to reduce the violation due to it being their first violation.,"7EM4757-MD,5EB2764-MD",Leonardtown,20650,Lot 19
1523012263,Paid,250304,2nd appeal-Offc of Stud Conduct,4/7/2023 15:20,0,5/15/2023 14:25,2nd Appeal Denied- Citation Upheld,From Appellate Board: The appellate board determined to uphold the original citation amount. The Board determined that the student did violate parking regulations and did not provide any new information to either reduce or void the citation.,7CY3211-MD,Glenarden,20706,Lot 2
3823006415,Paid,248267,2nd appeal-Offc of Stud Conduct,2/17/2023 16:27,0,5/15/2023 13:53,2nd Appeal Denied- Citation Upheld,From Appellate Board: The Board agrees with the CRU team to reduce the original sanction. They presented no new information for the Board to further reduce or eliminate the citation.,3EL8124-MD,Dundalk,21222-3156,Lot 6 Commuter
2822005648,Paid,244523,2nd appeal-Offc of Stud Conduct,10/25/2022 14:59,0,3/10/2023 14:25,2nd Appeal Denied- Citation Upheld,"From Appellate Board: This citation is upheld based on a lack of new and relevant evidence. It is the student's responsibility to be aware of DOTS construction zones and ensure they are leaving their vehicle in a legal lot. In the future, they should be more diligent.","MIL5356-MD,1DL6133-MD",Leonardtown,20650,Lot 19
3522005237,Transferred,244866,2nd appeal-Offc of Stud Conduct,11/2/2022 8:31,0,3/10/2023 14:14,2nd Appeal Denied- Citation Upheld,From Appellate Board: This citation is upheld due to a lack of new and relevant information. It is the duty of the student to be informed and aware of all campus parking regulations when they choose to bring a vehicle on campus. Reach out to DOTS customer service if there are questions in the future.,5EG8030-MD,Laurel,20723-1570,NULL
3822005718,Paid,247972,2nd appeal-Offc of Stud Conduct,2/13/2023 15:42,0,4/3/2023 11:17,2nd Appeal Denied- Citation Upheld,"From Appellate Board: The student did not provide any new or relevant information in their second appeal of the citation. Therefore the Appellate Board votes to uphold the original citation, as it is the student's responsibility to be aware of parking restrictions during finals week.",3EY5234-MD,Silver Spring,20901-2231,Stadium Drive Garage
